Created as New Dataset,
cm-1,A
3095.00,1.7321
3094.00,1.7329
3093.00,1.7338
3092.00,1.7345
3091.00,1.7351
3090.00,1.7360
3089.00,1.7373
3088.00,1.7388
3087.00,1.7406
3086.00,1.7423
3085.00,1.7439
3084.00,1.7455
3083.00,1.7473
3082.00,1.7493
3081.00,1.7515
3080.00,1.7538
3079.00,1.7559
3078.00,1.7580
3077.00,1.7600
3076.00,1.7620
3075.00,1.7641
3074.00,1.7661
3073.00,1.7679
3072.00,1.7696
3071.00,1.7713
3070.00,1.7733
3069.00,1.7755
3068.00,1.7775
3067.00,1.7794
3066.00,1.7812
3065.00,1.7827
3064.00,1.7841
3063.00,1.7854
3062.00,1.7867
3061.00,1.7882
3060.00,1.7895
3059.00,1.7905
3058.00,1.7912
3057.00,1.7920
3056.00,1.7933
3055.00,1.7951
3054.00,1.7970
3053.00,1.7988
3052.00,1.8004
3051.00,1.8018
3050.00,1.8028
3049.00,1.8036
3048.00,1.8044
3047.00,1.8055
3046.00,1.8070
3045.00,1.8088
3044.00,1.8107
3043.00,1.8125
3042.00,1.8140
3041.00,1.8153
3040.00,1.8165
3039.00,1.8178
3038.00,1.8193
3037.00,1.8208
3036.00,1.8223
3035.00,1.8238
3034.00,1.8256
3033.00,1.8278
3032.00,1.8304
3031.00,1.8333
3030.00,1.8363
3029.00,1.8391
3028.00,1.8415
3027.00,1.8438
3026.00,1.8463
3025.00,1.8493
3024.00,1.8526
3023.00,1.8562
3022.00,1.8602
3021.00,1.8646
3020.00,1.8693
3019.00,1.8741
3018.00,1.8788
3017.00,1.8834
3016.00,1.8879
3015.00,1.8926
3014.00,1.8976
3013.00,1.9029
3012.00,1.9083
3011.00,1.9134
3010.00,1.9183
3009.00,1.9232
3008.00,1.9281
3007.00,1.9332
3006.00,1.9384
3005.00,1.9438
3004.00,1.9494
3003.00,1.9552
3002.00,1.9613
3001.00,1.9673
3000.00,1.9731
2999.00,1.9788
2998.00,1.9852
2997.00,1.9925
2996.00,2.0008
2995.00,2.0094
2994.00,2.0185
2993.00,2.0285
2992.00,2.0400
2991.00,2.0531
2990.00,2.0673
2989.00,2.0824
2988.00,2.0991
2987.00,2.1180
2986.00,2.1392
2985.00,2.1621
2984.00,2.1861
2983.00,2.2111
2982.00,2.2379
2981.00,2.2673
2980.00,2.2997
2979.00,2.3349
2978.00,2.3727
2977.00,2.4129
2976.00,2.4554
2975.00,2.5011
2974.00,2.5511
2973.00,2.6058
2972.00,2.6643
2971.00,2.7254
2970.00,2.7893
2969.00,2.8569
2968.00,2.9273
2967.00,2.9970
2966.00,3.0624
2965.00,3.1227
2964.00,3.1809
2963.00,3.2412
2962.00,3.3077
2961.00,3.3840
2960.00,3.4697
2959.00,3.5571
2958.00,3.6341
2957.00,3.6898
2956.00,3.7167
2955.00,3.7147
2954.00,3.6967
2953.00,3.6754
2952.00,3.6517
2951.00,3.6242
2950.00,3.6039
2949.00,3.6081
2948.00,3.6414
2947.00,3.6882
2946.00,3.7179
2945.00,3.7155
2944.00,3.7001
2943.00,3.6968
2942.00,3.7140
2941.00,3.7494
2940.00,3.8046
2939.00,3.8888
2938.00,3.9962
2937.00,4.0748
2936.00,4.0903
2935.00,4.0949
2934.00,4.1597
2933.00,4.3076
2932.00,4.5466
2931.00,4.8222
2930.00,4.7303
2929.00,4.5220
2928.00,4.4431
2927.00,4.5905
2926.00,4.9684
2925.00,5.0307
2924.00,4.7389
2923.00,4.5703
2922.00,4.4749
2921.00,4.2884
2920.00,4.1474
2919.00,4.1373
2918.00,4.3238
2917.00,4.7373
2916.00,4.8657
2915.00,4.6434
2914.00,4.4217
2913.00,4.2896
2912.00,4.1316
2911.00,4.0037
2910.00,3.9416
2909.00,3.8966
2908.00,3.8517
2907.00,3.8119
2906.00,3.7897
2905.00,3.7801
2904.00,3.7658
2903.00,3.7439
2902.00,3.7262
2901.00,3.7182
2900.00,3.7062
2899.00,3.6646
2898.00,3.5915
2897.00,3.5165
2896.00,3.4649
