Created as New Dataset,Sample 001 By Laboratory Date Friday, November 21 2025
cm-1,A
2843.00,1.9514
2842.00,1.8912
2841.00,1.8348
2840.00,1.7820
2839.00,1.7333
2838.00,1.6892
2837.00,1.6499
2836.00,1.6147
2835.00,1.5829
2834.00,1.5536
2833.00,1.5264
2832.00,1.5013
2831.00,1.4785
2830.00,1.4581
2829.00,1.4401
2828.00,1.4246
2827.00,1.4110
2826.00,1.3988
2825.00,1.3871
2824.00,1.3761
2823.00,1.3661
2822.00,1.3573
2821.00,1.3496
2820.00,1.3428
2819.00,1.3365
2818.00,1.3305
2817.00,1.3245
2816.00,1.3186
2815.00,1.3132
2814.00,1.3084
2813.00,1.3042
2812.00,1.3003
2811.00,1.2965
2810.00,1.2926
2809.00,1.2886
2808.00,1.2845
2807.00,1.2806
2806.00,1.2769
2805.00,1.2735
2804.00,1.2706
2803.00,1.2681
2802.00,1.2659
2801.00,1.2639
2800.00,1.2616
2799.00,1.2592
2798.00,1.2568
2797.00,1.2545
2796.00,1.2526
2795.00,1.2508
2794.00,1.2489
2793.00,1.2470
2792.00,1.2450
2791.00,1.2429
2790.00,1.2408
2789.00,1.2387
2788.00,1.2367
2787.00,1.2349
2786.00,1.2333
2785.00,1.2320
2784.00,1.2306
2783.00,1.2291
2782.00,1.2276
2781.00,1.2263
2780.00,1.2252
2779.00,1.2244
2778.00,1.2234
2777.00,1.2222
2776.00,1.2208
2775.00,1.2196
2774.00,1.2186
2773.00,1.2178
2772.00,1.2170
2771.00,1.2162
2770.00,1.2153
2769.00,1.2144
2768.00,1.2135
2767.00,1.2127
2766.00,1.2122
2765.00,1.2119
2764.00,1.2116
2763.00,1.2112
2762.00,1.2108
2761.00,1.2105
2760.00,1.2103
2759.00,1.2101
2758.00,1.2098
2757.00,1.2094
2756.00,1.2091
2755.00,1.2089
2754.00,1.2088
2753.00,1.2087
2752.00,1.2085
2751.00,1.2081
2750.00,1.2079
2749.00,1.2078
2748.00,1.2077
2747.00,1.2076
2746.00,1.2076
2745.00,1.2079
2744.00,1.2084
2743.00,1.2089
2742.00,1.2093
2741.00,1.2097
2740.00,1.2099
2739.00,1.2099
2738.00,1.2100
2737.00,1.2102
2736.00,1.2107
2735.00,1.2115
2734.00,1.2127
2733.00,1.2138
2732.00,1.2145
2731.00,1.2148
2730.00,1.2149
2729.00,1.2148
2728.00,1.2147
2727.00,1.2146
2726.00,1.2145
2725.00,1.2142
2724.00,1.2137
2723.00,1.2133
2722.00,1.2128
2721.00,1.2124
2720.00,1.2120
2719.00,1.2115
2718.00,1.2110
2717.00,1.2105
2716.00,1.2099
2715.00,1.2090
2714.00,1.2080
2713.00,1.2068
2712.00,1.2059
2711.00,1.2052
2710.00,1.2048
2709.00,1.2047
2708.00,1.2046
2707.00,1.2043
2706.00,1.2037
2705.00,1.2030
2704.00,1.2023
2703.00,1.2019
2702.00,1.2017
2701.00,1.2016
2700.00,1.2015
2699.00,1.2014
2698.00,1.2014
2697.00,1.2013
2696.00,1.2013
2695.00,1.2015
2694.00,1.2018
2693.00,1.2021
2692.00,1.2020
2691.00,1.2016
2690.00,1.2012
2689.00,1.2012
2688.00,1.2015
2687.00,1.2018
2686.00,1.2018
2685.00,1.2013
2684.00,1.2008
2683.00,1.2006
2682.00,1.2008
2681.00,1.2013
2680.00,1.2018
2679.00,1.2021
2678.00,1.2020
2677.00,1.2018
2676.00,1.2015
2675.00,1.2012
2674.00,1.2009
2673.00,1.2007
2672.00,1.2006
2671.00,1.2006
2670.00,1.2005
2669.00,1.2003
2668.00,1.1999
2667.00,1.1995
2666.00,1.1992
2665.00,1.1989
2664.00,1.1986
2663.00,1.1981
2662.00,1.1977
2661.00,1.1973
2660.00,1.1969
2659.00,1.1964
2658.00,1.1961
2657.00,1.1960
2656.00,1.1959
2655.00,1.1957
2654.00,1.1951
2653.00,1.1945
2652.00,1.1940
2651.00,1.1936
2650.00,1.1934
2649.00,1.1933
2648.00,1.1932
2647.00,1.1931
2646.00,1.1930
2645.00,1.1927
2644.00,1.1921
2643.00,1.1914
2642.00,1.1905
2641.00,1.1898
2640.00,1.1893
2639.00,1.1891
2638.00,1.1890
2637.00,1.1890
2636.00,1.1890
